author,Methodological research,Open source development,Clinical evidence generation,Open community data standards,paperCount
"Hughes, N",1,1,2,1,5
"Hwang, H",0,0,3,2,5
"Jang, J",0,0,4,1,5
"Jung, C",0,0,5,0,5
"Khalid, S",0,1,3,1,5
"Kim, T",0,0,4,1,5
"Kolovos, S",0,0,5,0,5
"Lambert, C",0,0,4,1,5
"Lehmann, H",2,0,1,2,5
"Li, L",0,1,4,0,5
"Manna, A",3,0,1,1,5
"Nishimura, A",1,0,4,0,5
"Ong, T",0,0,4,1,5
"Pacheco, J",1,2,0,2,5
"Palchuk, M",1,0,1,3,5
"Papez, V",1,0,2,2,5
"Park, C",0,0,3,2,5
"Park, M",1,0,2,2,5
"Ramírez-Anguita, J",1,1,2,1,5
"Rasmussen, L",1,2,0,2,5
"Reisberg, S",1,2,0,2,5
"Reyes, C",0,0,4,1,5
"Rho, Y",1,0,3,1,5
"Shin, S",1,0,1,3,5
"Spratt, H",1,0,3,1,5
"Sun, Y",3,1,0,1,5
"Tan, E",1,0,4,0,5
"Vashisht, R",1,0,4,0,5
"Walden, A",1,0,2,2,5
"Wen, A",1,1,0,3,5
"Xie, J",0,0,5,0,5
"Yu, D",0,0,3,2,5
"Yuan, C",1,2,1,1,5
"Ahmadi, N",1,0,0,3,4
"Amor, B",2,0,1,1,4
"Amutha, A",0,0,4,0,4
"Anand, A",3,0,1,0,4
"Black, A",1,2,0,1,4
"Carter, W",0,0,4,0,4
"Casiraghi, E",1,0,2,1,4
"Català, M",0,1,2,1,4
"Cha, J",0,0,3,1,4
"Chang, D",0,0,4,0,4
"Cheong, J",1,0,2,1,4
"Choi, H",1,0,3,0,4
"Cimino, J",0,0,0,4,4
"Coleman, B",1,0,2,1,4
"Culhane, A",0,0,4,0,4
"D'Agostino, R",0,0,4,0,4
"Dabelea, D",0,0,4,0,4
"Daniel, C",0,0,0,4,4
"Delmestri, A",0,0,4,0,4
"DuMouchel, W",4,0,0,0,4
"Evans-Axelsson, S",1,0,3,0,4
"Fife, D",2,0,1,1,4
"Gagne, J",4,0,0,0,4
"Gruhl, M",0,1,0,3,4
"Gulden, C",0,4,0,0,4
"Gurley, M",0,0,0,4,4
"Hajagos, J",2,0,1,1,4
"Hamman, R",0,0,4,0,4
"He, Z",1,0,2,1,4
