name	paperCount	firstYear
Wooldridge, J	2	2021
Woong Park, R	2	2021
Wu, Q	6	2023
Wu, Y	4	2017
Xie, J	12	2020
Xie, Y	2	2018
Xu, B	3	2025
Xu, H	16	2016
Xu, Y	3	2015
Xu, Z	2	2019
Yang, C	7	2021
Yang, H	2	2024
Yang, J	5	2020
Yang, K	4	2021
Yang, S	3	2023
Yang, Y	2	2018
Yanover, C	4	2023
Yao, L	2	2019
Yi, S	5	2020
Yin, C	9	2022
Yoo, I	3	2022
Yoo, J	4	2020
Yoo, S	23	2020
Yoo, Y	3	2021
Yoon, D	3	2016
Yoon, E	2	2020
Yoon, H	2	2020
Yoon, J	5	2020
Yoon, S	2	2023
Yoon, Y	3	2023
You, S	57	2017
Young, S	2	2016
Youngerman, B	2	2022
Yu, D	5	2019
Yu, Y	8	2018
Yuan, C	5	2018
Yuan, Z	7	2017
Yum, Y	2	2023
Zampino, E	2	2020
Zavadska, D	3	2024
Zelko, J	2	2024
Zeng, C	2	2023
Zhan, S	3	2018
Zhang, B	9	2022
Zhang, D	7	2025
Zhang, G	4	2021
Zhang, L	18	2020
Zhang, Q	2	2022
Zhang, R	2	2020
Zhang, S	4	2017
Zhang, X	11	2018
Zhang, Y	11	2018
Zhou, J	7	2022
Zhou, T	9	2020
Zhou, X	5	2013
Zhou, Y	6	2020
Zhu, H	3	2021
Zhu, R	4	2021
Zhu, V	2	2014
Zhu, Y	2	2018
Zhuk, O	2	2020
Zoch, M	15	2021
Zong, N	4	2020
Zorych, I	5	2013
Zozus, M	5	2015
Zuo, X	2	2020
Zvirbulis, V	3	2024
