name	paperCount	firstYear
Desai, P	4	2023
Dewey, B	2	2024
Dhingra, L	5	2023
Dhruva, S	2	2019
Didden, E	3	2021
Dikilitas, O	2	2019
Dimitriadis, V	2	2021
DiPalazzo, J	2	2022
Dobbins, N	2	2020
Dobson, R	2	2021
Dongelmans, D	2	2023
Donsa, K	2	2024
Dorajoo, S	2	2022
Dorr, D	7	2022
Doutreligne, M	2	2020
Drakos, I	3	2021
Droz-Perroteau, C	3	2020
Du, M	3	2023
Duan, R	4	2020
Duarte-Salles, T	51	2019
Dudley, J	6	2018
Duftschmid, G	5	2023
Duke, J	13	2013
Dumontier, M	2	2014
DuMouchel, W	7	2013
DuVall, S	28	2019
Dymshyts, D	6	2019
Ebert, M	2	2023
Eckardt, J	2	2024
Eckrich, D	2	2017
Edmondson, M	3	2022
El-Hay, T	3	2024
Elbers, P	2	2023
Elhadad, N	3	2017
Elovici, Y	2	2016
Englund, M	2	2022
Ernst, M	3	2020
Erpenbeck, M	2	2019
Espinoza, J	3	2021
Evans, L	3	2016
Evans-Axelsson, S	4	2024
Facchinello, C	2	2024
Falconer, T	35	2020
Fan, R	2	2024
Fang, Y	2	2022
Farrell, A	2	2021
Feng, M	2	2021
Feng, Y	2	2018
Ferguson, L	3	2024
Fernandez, S	2	2025
Fernandez-Bertolin, S	18	2020
Ferrer, M	2	2024
Fife, D	8	2014
Fina, F	2	2021
Fischer, P	2	2020
Fišter, K	2	2020
Fleming, C	3	2024
Florescu, S	3	2024
Flygare, O	2	2024
Fontana, T	2	2022
Forrest, C	9	2014
Fort, D	2	2022
Fortin, S	11	2021
Fouladvand, S	2	2023
Fraboulet, C	2	2022
Franceschini, D	2	2019
Francesconi, P	2	2016
Frazier, R	2	2019
Freedman, A	2	2019
French, T	3	2020
Frid, S	4	2023
Fridgeirsson, E	12	2022
Friedman, C	3	2014
Fruchart, M	2	2022
Furniss, D	2	2020
Gabetta, M	3	2021
Gabriel, D	6	2014
Gagne, J	3	2020
Gainer, V	2	2019
Gaio, V	3	2024
